0.038,
0.081,
0.088,
0.087,
0.08,
0.078,
0.088,
0.083,
0.037,
0.094,
0.083,
0.084,
0.063,
0.056,
0.083,
0.062,
0.125,
0.05,
0.063,
0.039,
0.081,
0.059,
0.069,
0.038,
0.067,
0.067,
0.087,
0.086,
0.072,
0.06,
0.063,
0.077,
0.036,
0.081,
0.076,
0.087,
0.137,
0.122,
0.143,
0.081,
0.067,
0.141,
0.138,
0.068,
0.037,
0.08,
0.086,
0.145,
0.081,
0.09,
0.041,
0.137,
0.134,
0.072,
0.074,
0.036,
0.045,
0.037,
0.079,
0.153,
0.121,
0.086,
0.09,
0.039,
0.084,
0.066,
0.073,
0.059,
0.138,
0.138,
0.07,
0.038,
0.125,
0.091,
0.129,
0.038,
0.087,
0.08,
0.142,
0.117,
0.089,
0.076,
0.136,
0.083,
0.085,
0.104,
0.06,
0.073,
0.08,
0.138,
0.08,
0.053,
0.14,
0.064,
0.06,
0.063,
0.083,
0.072,
0.07,
0.043,
,
0.08255,0.030901726
