0.036,
0.054,
0.065,
0.145,
0.134,
0.059,
0.059,
0.055,
0.077,
0.06,
0.124,
0.091,
0.082,
0.086,
0.071,
0.068,
0.087,
0.075,
0.06,
0.091,
0.076,
0.105,
0.088,
0.06,
0.088,
0.065,
0.081,
0.051,
0.132,
0.118,
0.057,
0.051,
0.057,
0.066,
0.071,
0.078,
0.037,
0.08,
0.08,
0.084,
0.077,
0.059,
0.143,
0.128,
0.057,
0.079,
0.059,
0.072,
0.093,
0.081,
0.039,
0.049,
0.118,
0.056,
0.069,
0.063,
0.07,
0.079,
0.059,
0.064,
0.073,
0.065,
0.061,
0.064,
0.071,
0.075,
0.083,
0.089,
0.098,
0.115,
0.038,
0.08,
0.092,
0.064,
0.189,
0.089,
0.066,
0.067,
0.067,
0.075,
0.108,
0.067,
0.068,
0.075,
0.056,
0.058,
0.067,
0.065,
0.07,
0.092,
0.072,
0.077,
0.059,
0.075,
0.088,
0.063,
0.077,
0.075,
0.143,
0.071,
,
,
0.07765,0.025346637
