0.041,
0.042,
0.074,
0.05,
0.069,
0.066,
0.06,
0.078,
0.052,
0.061,
0.067,
0.08,
0.079,
0.058,
0.073,
0.056,
0.068,
0.06,
0.058,
0.057,
0.061,
0.069,
0.054,
0.088,
0.106,
0.065,
0.043,
0.07,
0.058,
0.042,
0.038,
0.047,
0.072,
0.037,
0.059,
0.038,
0.069,
0.075,
0.053,
0.04,
0.06,
0.077,
0.121,
0.062,
0.085,
0.066,
0.065,
0.061,
0.075,
0.052,
0.055,
0.051,
0.054,
0.075,
0.055,
0.081,
0.053,
0.068,
0.059,
0.102,
0.057,
0.061,
0.057,
0.054,
0.042,
0.076,
0.076,
0.064,
0.05,
0.064,
0.066,
0.082,
0.051,
0.047,
0.072,
0.06,
0.059,
0.057,
0.051,
0.057,
0.068,
0.054,
0.066,
0.065,
0.054,
0.087,
0.069,
0.066,
0.045,
0.049,
0.107,
0.067,
0.076,
0.06,
0.117,
0.1,
0.071,
0.064,
0.081,
0.111,
,
,
0.0649,0.016864582
