0.079,
0.228,
0.067,
0.071,
0.246,
0.058,
0.084,
0.068,
0.104,
0.102,
0.063,
0.098,
0.115,
0.091,
0.136,
0.245,
0.105,
0.167,
0.076,
0.18,
0.062,
0.1,
0.168,
0.114,
0.055,
0.18,
0.102,
0.103,
0.175,
0.194,
0.183,
0.079,
0.092,
0.091,
0.155,
0.075,
0.08,
0.111,
0.075,
0.084,
0.086,
0.084,
0.111,
0.103,
0.183,
0.204,
0.126,
0.086,
0.11,
0.147,
0.107,
0.169,
0.203,
0.08,
0.09,
0.069,
0.193,
0.202,
0.106,
0.06,
0.072,
0.1,
0.055,
0.108,
0.075,
0.084,
0.205,
0.213,
0.157,
0.144,
0.08,
0.156,
0.069,
0.077,
0.17,
0.191,
0.112,
0.158,
0.069,
0.163,
0.104,
0.1,
0.149,
0.064,
0.098,
0.108,
0.156,
0.173,
0.105,
0.172,
0.088,
0.118,
0.138,
0.05,
0.103,
0.196,
0.073,
0.051,
0.097,
0.105,
,
,
0.11886,0.048970826
